MTHD,MODL,NTAX,NGEN,TRLN,REPL,DATA,DMAT,STRE,SMAX,SECS
SVDquartets,100tax+75gen,100,75,500K,07,intron,NA,SVDquartets,NA,219
"NJMerge(SVDquartets,AGID)-Serial",100tax+75gen,100,75,500K,07,intron,AGID,SVDquartets,30,72.91347085952759
"NJMerge(SVDquartets,AGID)-Parallel",100tax+75gen,100,75,500K,07,intron,AGID,SVDquartets,30,27.3034708595276
"NJMerge(SVDquartets,log-det)-Serial",100tax+75gen,100,75,500K,07,intron,log-det,SVDquartets,30,71.05
"NJMerge(SVDquartets,log-det)-Parallel",100tax+75gen,100,75,500K,07,intron,log-det,SVDquartets,30,29.05
RAxML,100tax+75gen,100,75,500K,07,intron,NA,RAxML,NA,151.913176
"NJMerge(RAxML,AGID)-Serial",100tax+75gen,100,75,500K,07,intron,AGID,RAxML,30,18.3993648595276
"NJMerge(RAxML,AGID)-Parallel",100tax+75gen,100,75,500K,07,intron,AGID,RAxML,30,11.2640548595276
"NJMerge(RAxML,log-det)-Serial",100tax+75gen,100,75,500K,07,intron,log-det,RAxML,30,16.482543
"NJMerge(RAxML,log-det)-Parallel",100tax+75gen,100,75,500K,07,intron,log-det,RAxML,30,9.919698
ASTRAL,100tax+75gen,100,75,500K,08,exon,NA,ASTRAL,NA,25.963
"NJMerge(ASTRAL,AGID)-Serial",100tax+75gen,100,75,500K,08,exon,AGID,ASTRAL,30,39.1363769226074
"NJMerge(ASTRAL,AGID)-Parallel",100tax+75gen,100,75,500K,08,exon,AGID,ASTRAL,30,13.350376922607401
"NJMerge(ASTRAL,log-det)-Serial",100tax+75gen,100,75,500K,08,exon,log-det,ASTRAL,30,23.938
"NJMerge(ASTRAL,log-det)-Parallel",100tax+75gen,100,75,500K,08,exon,log-det,ASTRAL,30,18.948
SVDquartets,100tax+75gen,100,75,500K,08,exon,NA,SVDquartets,NA,215
"NJMerge(SVDquartets,AGID)-Serial",100tax+75gen,100,75,500K,08,exon,AGID,SVDquartets,30,67.4033769226074
"NJMerge(SVDquartets,AGID)-Parallel",100tax+75gen,100,75,500K,08,exon,AGID,SVDquartets,30,27.7833769226074
"NJMerge(SVDquartets,log-det)-Serial",100tax+75gen,100,75,500K,08,exon,log-det,SVDquartets,30,72.75
"NJMerge(SVDquartets,log-det)-Parallel",100tax+75gen,100,75,500K,08,exon,log-det,SVDquartets,30,30.75
RAxML,100tax+75gen,100,75,500K,08,exon,NA,RAxML,NA,113.147974
"NJMerge(RAxML,AGID)-Serial",100tax+75gen,100,75,500K,08,exon,AGID,RAxML,30,20.003612922607402
"NJMerge(RAxML,AGID)-Parallel",100tax+75gen,100,75,500K,08,exon,AGID,RAxML,30,13.6517079226074
"NJMerge(RAxML,log-det)-Serial",100tax+75gen,100,75,500K,08,exon,log-det,RAxML,30,18.831533
"NJMerge(RAxML,log-det)-Parallel",100tax+75gen,100,75,500K,08,exon,log-det,RAxML,30,12.215193
ASTRAL,100tax+75gen,100,75,500K,08,intron,NA,ASTRAL,NA,28.027
"NJMerge(ASTRAL,AGID)-Serial",100tax+75gen,100,75,500K,08,intron,AGID,ASTRAL,30,40.864810916900595
"NJMerge(ASTRAL,AGID)-Parallel",100tax+75gen,100,75,500K,08,intron,AGID,ASTRAL,30,16.451810916900598
"NJMerge(ASTRAL,log-det)-Serial",100tax+75gen,100,75,500K,08,intron,log-det,ASTRAL,30,16.059
"NJMerge(ASTRAL,log-det)-Parallel",100tax+75gen,100,75,500K,08,intron,log-det,ASTRAL,30,10.602
SVDquartets,100tax+75gen,100,75,500K,08,intron,NA,SVDquartets,NA,199
"NJMerge(SVDquartets,AGID)-Serial",100tax+75gen,100,75,500K,08,intron,AGID,SVDquartets,30,83.1428109169006
"NJMerge(SVDquartets,AGID)-Parallel",100tax+75gen,100,75,500K,08,intron,AGID,SVDquartets,30,30.6328109169006
"NJMerge(SVDquartets,log-det)-Serial",100tax+75gen,100,75,500K,08,intron,log-det,SVDquartets,30,84.15
"NJMerge(SVDquartets,log-det)-Parallel",100tax+75gen,100,75,500K,08,intron,log-det,SVDquartets,30,31.15
RAxML,100tax+75gen,100,75,500K,08,intron,NA,RAxML,NA,61.533713
"NJMerge(RAxML,AGID)-Serial",100tax+75gen,100,75,500K,08,intron,AGID,RAxML,30,16.7564729169006
"NJMerge(RAxML,AGID)-Parallel",100tax+75gen,100,75,500K,08,intron,AGID,RAxML,30,10.2153949169006
"NJMerge(RAxML,log-det)-Serial",100tax+75gen,100,75,500K,08,intron,log-det,RAxML,30,16.963276999999998
"NJMerge(RAxML,log-det)-Parallel",100tax+75gen,100,75,500K,08,intron,log-det,RAxML,30,11.130126
ASTRAL,100tax+75gen,100,75,500K,09,exon,NA,ASTRAL,NA,25.862
"NJMerge(ASTRAL,AGID)-Serial",100tax+75gen,100,75,500K,09,exon,AGID,ASTRAL,30,38.0952579441071
"NJMerge(ASTRAL,AGID)-Parallel",100tax+75gen,100,75,500K,09,exon,AGID,ASTRAL,30,13.3572579441071
"NJMerge(ASTRAL,log-det)-Serial",100tax+75gen,100,75,500K,09,exon,log-det,ASTRAL,30,14.728
"NJMerge(ASTRAL,log-det)-Parallel",100tax+75gen,100,75,500K,09,exon,log-det,ASTRAL,30,9.963000000000001
SVDquartets,100tax+75gen,100,75,500K,09,exon,NA,SVDquartets,NA,233
"NJMerge(SVDquartets,AGID)-Serial",100tax+75gen,100,75,500K,09,exon,AGID,SVDquartets,30,74.8462579441071
"NJMerge(SVDquartets,AGID)-Parallel",100tax+75gen,100,75,500K,09,exon,AGID,SVDquartets,30,25.506257944107098
"NJMerge(SVDquartets,log-det)-Serial",100tax+75gen,100,75,500K,09,exon,log-det,SVDquartets,30,84.96000000000001
"NJMerge(SVDquartets,log-det)-Parallel",100tax+75gen,100,75,500K,09,exon,log-det,SVDquartets,30,30.14
RAxML,100tax+75gen,100,75,500K,09,exon,NA,RAxML,NA,171.911220
"NJMerge(RAxML,AGID)-Serial",100tax+75gen,100,75,500K,09,exon,AGID,RAxML,30,26.6900929441071
"NJMerge(RAxML,AGID)-Parallel",100tax+75gen,100,75,500K,09,exon,AGID,RAxML,30,13.247554944107101
"NJMerge(RAxML,log-det)-Serial",100tax+75gen,100,75,500K,09,exon,log-det,RAxML,30,32.228014
"NJMerge(RAxML,log-det)-Parallel",100tax+75gen,100,75,500K,09,exon,log-det,RAxML,30,16.535076
ASTRAL,100tax+75gen,100,75,500K,09,intron,NA,ASTRAL,NA,24.534
"NJMerge(ASTRAL,AGID)-Serial",100tax+75gen,100,75,500K,09,intron,AGID,ASTRAL,30,40.46171690750119
"NJMerge(ASTRAL,AGID)-Parallel",100tax+75gen,100,75,500K,09,intron,AGID,ASTRAL,30,16.1927169075012
"NJMerge(ASTRAL,log-det)-Serial",100tax+75gen,100,75,500K,09,intron,log-det,ASTRAL,30,25.022
"NJMerge(ASTRAL,log-det)-Parallel",100tax+75gen,100,75,500K,09,intron,log-det,ASTRAL,30,20.332
SVDquartets,100tax+75gen,100,75,500K,09,intron,NA,SVDquartets,NA,265
"NJMerge(SVDquartets,AGID)-Serial",100tax+75gen,100,75,500K,09,intron,AGID,SVDquartets,30,96.2337169075012
"NJMerge(SVDquartets,AGID)-Parallel",100tax+75gen,100,75,500K,09,intron,AGID,SVDquartets,30,48.6737169075012
"NJMerge(SVDquartets,log-det)-Serial",100tax+75gen,100,75,500K,09,intron,log-det,SVDquartets,30,82.45
"NJMerge(SVDquartets,log-det)-Parallel",100tax+75gen,100,75,500K,09,intron,log-det,SVDquartets,30,32.34
RAxML,100tax+75gen,100,75,500K,09,intron,NA,RAxML,NA,280.135021
"NJMerge(RAxML,AGID)-Serial",100tax+75gen,100,75,500K,09,intron,AGID,RAxML,30,56.1547679075012
"NJMerge(RAxML,AGID)-Parallel",100tax+75gen,100,75,500K,09,intron,AGID,RAxML,30,30.065581907501198
"NJMerge(RAxML,log-det)-Serial",100tax+75gen,100,75,500K,09,intron,log-det,RAxML,30,48.120090000000005
"NJMerge(RAxML,log-det)-Parallel",100tax+75gen,100,75,500K,09,intron,log-det,RAxML,30,23.409806
ASTRAL,100tax+75gen,100,75,500K,10,exon,NA,ASTRAL,NA,29.289
"NJMerge(ASTRAL,AGID)-Serial",100tax+75gen,100,75,500K,10,exon,AGID,ASTRAL,30,43.6639471473694
"NJMerge(ASTRAL,AGID)-Parallel",100tax+75gen,100,75,500K,10,exon,AGID,ASTRAL,30,14.2929471473694
"NJMerge(ASTRAL,log-det)-Serial",100tax+75gen,100,75,500K,10,exon,log-det,ASTRAL,30,40.086
"NJMerge(ASTRAL,log-det)-Parallel",100tax+75gen,100,75,500K,10,exon,log-det,ASTRAL,30,34.609
SVDquartets,100tax+75gen,100,75,500K,10,exon,NA,SVDquartets,NA,230
"NJMerge(SVDquartets,AGID)-Serial",100tax+75gen,100,75,500K,10,exon,AGID,SVDquartets,30,85.0249471473694
"NJMerge(SVDquartets,AGID)-Parallel",100tax+75gen,100,75,500K,10,exon,AGID,SVDquartets,30,28.9149471473694
"NJMerge(SVDquartets,log-det)-Serial",100tax+75gen,100,75,500K,10,exon,log-det,SVDquartets,30,89.29
"NJMerge(SVDquartets,log-det)-Parallel",100tax+75gen,100,75,500K,10,exon,log-det,SVDquartets,30,36.629999999999995
RAxML,100tax+75gen,100,75,500K,10,exon,NA,RAxML,NA,112.779905
"NJMerge(RAxML,AGID)-Serial",100tax+75gen,100,75,500K,10,exon,AGID,RAxML,30,27.1465651473694
"NJMerge(RAxML,AGID)-Parallel",100tax+75gen,100,75,500K,10,exon,AGID,RAxML,30,13.8941941473694
"NJMerge(RAxML,log-det)-Serial",100tax+75gen,100,75,500K,10,exon,log-det,RAxML,30,26.154421
"NJMerge(RAxML,log-det)-Parallel",100tax+75gen,100,75,500K,10,exon,log-det,RAxML,30,14.660031
ASTRAL,100tax+75gen,100,75,500K,10,intron,NA,ASTRAL,NA,25.016
"NJMerge(ASTRAL,AGID)-Serial",100tax+75gen,100,75,500K,10,intron,AGID,ASTRAL,30,42.4247030792236
"NJMerge(ASTRAL,AGID)-Parallel",100tax+75gen,100,75,500K,10,intron,AGID,ASTRAL,30,16.2737030792236
"NJMerge(ASTRAL,log-det)-Serial",100tax+75gen,100,75,500K,10,intron,log-det,ASTRAL,30,15.715
"NJMerge(ASTRAL,log-det)-Parallel",100tax+75gen,100,75,500K,10,intron,log-det,ASTRAL,30,10.23
SVDquartets,100tax+75gen,100,75,500K,10,intron,NA,SVDquartets,NA,255
"NJMerge(SVDquartets,AGID)-Serial",100tax+75gen,100,75,500K,10,intron,AGID,SVDquartets,30,79.5437030792236
"NJMerge(SVDquartets,AGID)-Parallel",100tax+75gen,100,75,500K,10,intron,AGID,SVDquartets,30,25.303703079223602
"NJMerge(SVDquartets,log-det)-Serial",100tax+75gen,100,75,500K,10,intron,log-det,SVDquartets,30,84.97
"NJMerge(SVDquartets,log-det)-Parallel",100tax+75gen,100,75,500K,10,intron,log-det,SVDquartets,30,31.75
RAxML,100tax+75gen,100,75,500K,10,intron,NA,RAxML,NA,161.250338
"NJMerge(RAxML,AGID)-Serial",100tax+75gen,100,75,500K,10,intron,AGID,RAxML,30,38.6058390792236
"NJMerge(RAxML,AGID)-Parallel",100tax+75gen,100,75,500K,10,intron,AGID,RAxML,30,19.7694150792236
"NJMerge(RAxML,log-det)-Serial",100tax+75gen,100,75,500K,10,intron,log-det,RAxML,30,31.835183
"NJMerge(RAxML,log-det)-Parallel",100tax+75gen,100,75,500K,10,intron,log-det,RAxML,30,15.599511
ASTRAL,100tax+75gen,100,75,500K,11,exon,NA,ASTRAL,NA,33.188
"NJMerge(ASTRAL,AGID)-Serial",100tax+75gen,100,75,500K,11,exon,AGID,ASTRAL,30,40.9719398727417
"NJMerge(ASTRAL,AGID)-Parallel",100tax+75gen,100,75,500K,11,exon,AGID,ASTRAL,30,15.721939872741698
"NJMerge(ASTRAL,log-det)-Serial",100tax+75gen,100,75,500K,11,exon,log-det,ASTRAL,30,13.222999999999999
"NJMerge(ASTRAL,log-det)-Parallel",100tax+75gen,100,75,500K,11,exon,log-det,ASTRAL,30,8.021
SVDquartets,100tax+75gen,100,75,500K,11,exon,NA,SVDquartets,NA,199
"NJMerge(SVDquartets,AGID)-Serial",100tax+75gen,100,75,500K,11,exon,AGID,SVDquartets,30,83.5729398727417
"NJMerge(SVDquartets,AGID)-Parallel",100tax+75gen,100,75,500K,11,exon,AGID,SVDquartets,30,28.8029398727417
"NJMerge(SVDquartets,log-det)-Serial",100tax+75gen,100,75,500K,11,exon,log-det,SVDquartets,30,70.99
"NJMerge(SVDquartets,log-det)-Parallel",100tax+75gen,100,75,500K,11,exon,log-det,SVDquartets,30,25.07
RAxML,100tax+75gen,100,75,500K,11,exon,NA,RAxML,NA,48.461946
"NJMerge(RAxML,AGID)-Serial",100tax+75gen,100,75,500K,11,exon,AGID,RAxML,30,22.3843078727417
"NJMerge(RAxML,AGID)-Parallel",100tax+75gen,100,75,500K,11,exon,AGID,RAxML,30,14.7694218727417
"NJMerge(RAxML,log-det)-Serial",100tax+75gen,100,75,500K,11,exon,log-det,RAxML,30,13.238232
"NJMerge(RAxML,log-det)-Parallel",100tax+75gen,100,75,500K,11,exon,log-det,RAxML,30,8.547972999999999
ASTRAL,100tax+75gen,100,75,500K,11,intron,NA,ASTRAL,NA,29.771
"NJMerge(ASTRAL,AGID)-Serial",100tax+75gen,100,75,500K,11,intron,AGID,ASTRAL,30,41.5931889762878
"NJMerge(ASTRAL,AGID)-Parallel",100tax+75gen,100,75,500K,11,intron,AGID,ASTRAL,30,13.455188976287799
"NJMerge(ASTRAL,log-det)-Serial",100tax+75gen,100,75,500K,11,intron,log-det,ASTRAL,30,20.104
"NJMerge(ASTRAL,log-det)-Parallel",100tax+75gen,100,75,500K,11,intron,log-det,ASTRAL,30,14.969000000000001
SVDquartets,100tax+75gen,100,75,500K,11,intron,NA,SVDquartets,NA,234
"NJMerge(SVDquartets,AGID)-Serial",100tax+75gen,100,75,500K,11,intron,AGID,SVDquartets,30,77.0141889762878
"NJMerge(SVDquartets,AGID)-Parallel",100tax+75gen,100,75,500K,11,intron,AGID,SVDquartets,30,25.5341889762878
"NJMerge(SVDquartets,log-det)-Serial",100tax+75gen,100,75,500K,11,intron,log-det,SVDquartets,30,78.6
"NJMerge(SVDquartets,log-det)-Parallel",100tax+75gen,100,75,500K,11,intron,log-det,SVDquartets,30,32.8
RAxML,100tax+75gen,100,75,500K,11,intron,NA,RAxML,NA,92.766376
"NJMerge(RAxML,AGID)-Serial",100tax+75gen,100,75,500K,11,intron,AGID,RAxML,30,17.6990779762878
"NJMerge(RAxML,AGID)-Parallel",100tax+75gen,100,75,500K,11,intron,AGID,RAxML,30,12.7253139762878
"NJMerge(RAxML,log-det)-Serial",100tax+75gen,100,75,500K,11,intron,log-det,RAxML,30,14.689258
"NJMerge(RAxML,log-det)-Parallel",100tax+75gen,100,75,500K,11,intron,log-det,RAxML,30,9.408437
ASTRAL,100tax+75gen,100,75,500K,12,exon,NA,ASTRAL,NA,32.693
"NJMerge(ASTRAL,AGID)-Serial",100tax+75gen,100,75,500K,12,exon,AGID,ASTRAL,30,45.6423080196381
"NJMerge(ASTRAL,AGID)-Parallel",100tax+75gen,100,75,500K,12,exon,AGID,ASTRAL,30,17.4533080196381
"NJMerge(ASTRAL,log-det)-Serial",100tax+75gen,100,75,500K,12,exon,log-det,ASTRAL,30,14.520000000000001
"NJMerge(ASTRAL,log-det)-Parallel",100tax+75gen,100,75,500K,12,exon,log-det,ASTRAL,30,7.785
SVDquartets,100tax+75gen,100,75,500K,12,exon,NA,SVDquartets,NA,203
"NJMerge(SVDquartets,AGID)-Serial",100tax+75gen,100,75,500K,12,exon,AGID,SVDquartets,30,83.0333080196381
"NJMerge(SVDquartets,AGID)-Parallel",100tax+75gen,100,75,500K,12,exon,AGID,SVDquartets,30,30.233308019638102
"NJMerge(SVDquartets,log-det)-Serial",100tax+75gen,100,75,500K,12,exon,log-det,SVDquartets,30,82.34
"NJMerge(SVDquartets,log-det)-Parallel",100tax+75gen,100,75,500K,12,exon,log-det,SVDquartets,30,28.4
RAxML,100tax+75gen,100,75,500K,12,exon,NA,RAxML,NA,60.226708
"NJMerge(RAxML,AGID)-Serial",100tax+75gen,100,75,500K,12,exon,AGID,RAxML,30,14.631026019638101
"NJMerge(RAxML,AGID)-Parallel",100tax+75gen,100,75,500K,12,exon,AGID,RAxML,30,8.716049019638099
"NJMerge(RAxML,log-det)-Serial",100tax+75gen,100,75,500K,12,exon,log-det,RAxML,30,13.037284
"NJMerge(RAxML,log-det)-Parallel",100tax+75gen,100,75,500K,12,exon,log-det,RAxML,30,7.796274
ASTRAL,100tax+75gen,100,75,500K,12,intron,NA,ASTRAL,NA,20.429
"NJMerge(ASTRAL,AGID)-Serial",100tax+75gen,100,75,500K,12,intron,AGID,ASTRAL,30,36.1710920124054
"NJMerge(ASTRAL,AGID)-Parallel",100tax+75gen,100,75,500K,12,intron,AGID,ASTRAL,30,13.103092012405401
"NJMerge(ASTRAL,log-det)-Serial",100tax+75gen,100,75,500K,12,intron,log-det,ASTRAL,30,12.133
"NJMerge(ASTRAL,log-det)-Parallel",100tax+75gen,100,75,500K,12,intron,log-det,ASTRAL,30,7.279
SVDquartets,100tax+75gen,100,75,500K,12,intron,NA,SVDquartets,NA,186
"NJMerge(SVDquartets,AGID)-Serial",100tax+75gen,100,75,500K,12,intron,AGID,SVDquartets,30,77.60309201240538
"NJMerge(SVDquartets,AGID)-Parallel",100tax+75gen,100,75,500K,12,intron,AGID,SVDquartets,30,26.943092012405398
"NJMerge(SVDquartets,log-det)-Serial",100tax+75gen,100,75,500K,12,intron,log-det,SVDquartets,30,79.43
"NJMerge(SVDquartets,log-det)-Parallel",100tax+75gen,100,75,500K,12,intron,log-det,SVDquartets,30,28.48
RAxML,100tax+75gen,100,75,500K,12,intron,NA,RAxML,NA,81.186293
"NJMerge(RAxML,AGID)-Serial",100tax+75gen,100,75,500K,12,intron,AGID,RAxML,30,16.379429012405403
"NJMerge(RAxML,AGID)-Parallel",100tax+75gen,100,75,500K,12,intron,AGID,RAxML,30,11.2528270124054
"NJMerge(RAxML,log-det)-Serial",100tax+75gen,100,75,500K,12,intron,log-det,RAxML,30,14.342682
"NJMerge(RAxML,log-det)-Parallel",100tax+75gen,100,75,500K,12,intron,log-det,RAxML,30,8.493208
ASTRAL,100tax+75gen,100,75,500K,13,exon,NA,ASTRAL,NA,31.907
"NJMerge(ASTRAL,AGID)-Serial",100tax+75gen,100,75,500K,13,exon,AGID,ASTRAL,30,41.5631579818726
"NJMerge(ASTRAL,AGID)-Parallel",100tax+75gen,100,75,500K,13,exon,AGID,ASTRAL,30,14.5591579818726
"NJMerge(ASTRAL,log-det)-Serial",100tax+75gen,100,75,500K,13,exon,log-det,ASTRAL,30,15.732
"NJMerge(ASTRAL,log-det)-Parallel",100tax+75gen,100,75,500K,13,exon,log-det,ASTRAL,30,10.187
SVDquartets,100tax+75gen,100,75,500K,13,exon,NA,SVDquartets,NA,199
"NJMerge(SVDquartets,AGID)-Serial",100tax+75gen,100,75,500K,13,exon,AGID,SVDquartets,30,78.2641579818726
"NJMerge(SVDquartets,AGID)-Parallel",100tax+75gen,100,75,500K,13,exon,AGID,SVDquartets,30,25.914157981872602
"NJMerge(SVDquartets,log-det)-Serial",100tax+75gen,100,75,500K,13,exon,log-det,SVDquartets,30,78.86
"NJMerge(SVDquartets,log-det)-Parallel",100tax+75gen,100,75,500K,13,exon,log-det,SVDquartets,30,33.05
RAxML,100tax+75gen,100,75,500K,13,exon,NA,RAxML,NA,110.264302
"NJMerge(RAxML,AGID)-Serial",100tax+75gen,100,75,500K,13,exon,AGID,RAxML,30,22.2208119818726
"NJMerge(RAxML,AGID)-Parallel",100tax+75gen,100,75,500K,13,exon,AGID,RAxML,30,12.1539919818726
"NJMerge(RAxML,log-det)-Serial",100tax+75gen,100,75,500K,13,exon,log-det,RAxML,30,23.738915
"NJMerge(RAxML,log-det)-Parallel",100tax+75gen,100,75,500K,13,exon,log-det,RAxML,30,13.151505
ASTRAL,100tax+75gen,100,75,500K,13,intron,NA,ASTRAL,NA,27.841
"NJMerge(ASTRAL,AGID)-Serial",100tax+75gen,100,75,500K,13,intron,AGID,ASTRAL,30,43.381715011596704
"NJMerge(ASTRAL,AGID)-Parallel",100tax+75gen,100,75,500K,13,intron,AGID,ASTRAL,30,14.4187150115967
"NJMerge(ASTRAL,log-det)-Serial",100tax+75gen,100,75,500K,13,intron,log-det,ASTRAL,30,12.870000000000001
"NJMerge(ASTRAL,log-det)-Parallel",100tax+75gen,100,75,500K,13,intron,log-det,ASTRAL,30,8.137
SVDquartets,100tax+75gen,100,75,500K,13,intron,NA,SVDquartets,NA,219
"NJMerge(SVDquartets,AGID)-Serial",100tax+75gen,100,75,500K,13,intron,AGID,SVDquartets,30,68.1967150115967
"NJMerge(SVDquartets,AGID)-Parallel",100tax+75gen,100,75,500K,13,intron,AGID,SVDquartets,30,21.9067150115967
"NJMerge(SVDquartets,log-det)-Serial",100tax+75gen,100,75,500K,13,intron,log-det,SVDquartets,30,69.09
"NJMerge(SVDquartets,log-det)-Parallel",100tax+75gen,100,75,500K,13,intron,log-det,SVDquartets,30,25.71
RAxML,100tax+75gen,100,75,500K,13,intron,NA,RAxML,NA,132.247182
"NJMerge(RAxML,AGID)-Serial",100tax+75gen,100,75,500K,13,intron,AGID,RAxML,30,16.2001930115967
"NJMerge(RAxML,AGID)-Parallel",100tax+75gen,100,75,500K,13,intron,AGID,RAxML,30,9.0346060115967
"NJMerge(RAxML,log-det)-Serial",100tax+75gen,100,75,500K,13,intron,log-det,RAxML,30,17.747268
"NJMerge(RAxML,log-det)-Parallel",100tax+75gen,100,75,500K,13,intron,log-det,RAxML,30,10.179674
ASTRAL,100tax+75gen,100,75,500K,14,exon,NA,ASTRAL,NA,30.103
"NJMerge(ASTRAL,AGID)-Serial",100tax+75gen,100,75,500K,14,exon,AGID,ASTRAL,30,40.2468377857208
"NJMerge(ASTRAL,AGID)-Parallel",100tax+75gen,100,75,500K,14,exon,AGID,ASTRAL,30,15.0208377857208
"NJMerge(ASTRAL,log-det)-Serial",100tax+75gen,100,75,500K,14,exon,log-det,ASTRAL,30,17.41
"NJMerge(ASTRAL,log-det)-Parallel",100tax+75gen,100,75,500K,14,exon,log-det,ASTRAL,30,11.099
SVDquartets,100tax+75gen,100,75,500K,14,exon,NA,SVDquartets,NA,192
"NJMerge(SVDquartets,AGID)-Serial",100tax+75gen,100,75,500K,14,exon,AGID,SVDquartets,30,82.4738377857208
"NJMerge(SVDquartets,AGID)-Parallel",100tax+75gen,100,75,500K,14,exon,AGID,SVDquartets,30,31.6538377857208
"NJMerge(SVDquartets,log-det)-Serial",100tax+75gen,100,75,500K,14,exon,log-det,SVDquartets,30,78.53
"NJMerge(SVDquartets,log-det)-Parallel",100tax+75gen,100,75,500K,14,exon,log-det,SVDquartets,30,28.67
RAxML,100tax+75gen,100,75,500K,14,exon,NA,RAxML,NA,55.695515
"NJMerge(RAxML,AGID)-Serial",100tax+75gen,100,75,500K,14,exon,AGID,RAxML,30,19.6063407857208
"NJMerge(RAxML,AGID)-Parallel",100tax+75gen,100,75,500K,14,exon,AGID,RAxML,30,12.8429317857208
"NJMerge(RAxML,log-det)-Serial",100tax+75gen,100,75,500K,14,exon,log-det,RAxML,30,22.634318999999998
"NJMerge(RAxML,log-det)-Parallel",100tax+75gen,100,75,500K,14,exon,log-det,RAxML,30,14.704819
ASTRAL,100tax+75gen,100,75,500K,14,intron,NA,ASTRAL,NA,26.377
"NJMerge(ASTRAL,AGID)-Serial",100tax+75gen,100,75,500K,14,intron,AGID,ASTRAL,30,38.722179201126096
"NJMerge(ASTRAL,AGID)-Parallel",100tax+75gen,100,75,500K,14,intron,AGID,ASTRAL,30,14.2271792011261
"NJMerge(ASTRAL,log-det)-Serial",100tax+75gen,100,75,500K,14,intron,log-det,ASTRAL,30,17.056
"NJMerge(ASTRAL,log-det)-Parallel",100tax+75gen,100,75,500K,14,intron,log-det,ASTRAL,30,12.36
SVDquartets,100tax+75gen,100,75,500K,14,intron,NA,SVDquartets,NA,224
"NJMerge(SVDquartets,AGID)-Serial",100tax+75gen,100,75,500K,14,intron,AGID,SVDquartets,30,77.1241792011261
"NJMerge(SVDquartets,AGID)-Parallel",100tax+75gen,100,75,500K,14,intron,AGID,SVDquartets,30,27.694179201126097
"NJMerge(SVDquartets,log-det)-Serial",100tax+75gen,100,75,500K,14,intron,log-det,SVDquartets,30,71.61
"NJMerge(SVDquartets,log-det)-Parallel",100tax+75gen,100,75,500K,14,intron,log-det,SVDquartets,30,30.49
RAxML,100tax+75gen,100,75,500K,14,intron,NA,RAxML,NA,63.790352
"NJMerge(RAxML,AGID)-Serial",100tax+75gen,100,75,500K,14,intron,AGID,RAxML,30,17.9531092011261
"NJMerge(RAxML,AGID)-Parallel",100tax+75gen,100,75,500K,14,intron,AGID,RAxML,30,11.6096692011261
"NJMerge(RAxML,log-det)-Serial",100tax+75gen,100,75,500K,14,intron,log-det,RAxML,30,13.944659
"NJMerge(RAxML,log-det)-Parallel",100tax+75gen,100,75,500K,14,intron,log-det,RAxML,30,9.813689
ASTRAL,100tax+75gen,100,75,500K,15,exon,NA,ASTRAL,NA,25.715
"NJMerge(ASTRAL,AGID)-Serial",100tax+75gen,100,75,500K,15,exon,AGID,ASTRAL,30,45.4967381801605
"NJMerge(ASTRAL,AGID)-Parallel",100tax+75gen,100,75,500K,15,exon,AGID,ASTRAL,30,17.6517381801605
"NJMerge(ASTRAL,log-det)-Serial",100tax+75gen,100,75,500K,15,exon,log-det,ASTRAL,30,16.024
"NJMerge(ASTRAL,log-det)-Parallel",100tax+75gen,100,75,500K,15,exon,log-det,ASTRAL,30,10.808
SVDquartets,100tax+75gen,100,75,500K,15,exon,NA,SVDquartets,NA,190
"NJMerge(SVDquartets,AGID)-Serial",100tax+75gen,100,75,500K,15,exon,AGID,SVDquartets,30,70.5227381801605
"NJMerge(SVDquartets,AGID)-Parallel",100tax+75gen,100,75,500K,15,exon,AGID,SVDquartets,30,29.7927381801605
"NJMerge(SVDquartets,log-det)-Serial",100tax+75gen,100,75,500K,15,exon,log-det,SVDquartets,30,75.94
"NJMerge(SVDquartets,log-det)-Parallel",100tax+75gen,100,75,500K,15,exon,log-det,SVDquartets,30,31.0
RAxML,100tax+75gen,100,75,500K,15,exon,NA,RAxML,NA,57.645229
"NJMerge(RAxML,AGID)-Serial",100tax+75gen,100,75,500K,15,exon,AGID,RAxML,30,16.850438180160502
"NJMerge(RAxML,AGID)-Parallel",100tax+75gen,100,75,500K,15,exon,AGID,RAxML,30,11.4141751801605
"NJMerge(RAxML,log-det)-Serial",100tax+75gen,100,75,500K,15,exon,log-det,RAxML,30,15.715013
"NJMerge(RAxML,log-det)-Parallel",100tax+75gen,100,75,500K,15,exon,log-det,RAxML,30,10.860023
ASTRAL,100tax+75gen,100,75,500K,15,intron,NA,ASTRAL,NA,14.822
"NJMerge(ASTRAL,AGID)-Serial",100tax+75gen,100,75,500K,15,intron,AGID,ASTRAL,30,44.0730210361481
"NJMerge(ASTRAL,AGID)-Parallel",100tax+75gen,100,75,500K,15,intron,AGID,ASTRAL,30,16.0760210361481
"NJMerge(ASTRAL,log-det)-Serial",100tax+75gen,100,75,500K,15,intron,log-det,ASTRAL,30,17.831
"NJMerge(ASTRAL,log-det)-Parallel",100tax+75gen,100,75,500K,15,intron,log-det,ASTRAL,30,13.144
SVDquartets,100tax+75gen,100,75,500K,15,intron,NA,SVDquartets,NA,212
