MODL,NTAX,NGEN,TRLN,REPL,DATA,MTHD,SMAX,DMAT,STRE,SENL,SEI1,SEI2,SEFP,SEFN,SERF
"100tax+75gen",100,75,10M,02,intron,"SVDquartets",NA,NA,SVDquartets,101,98,98,15,15,0.153061
"100tax+75gen",100,75,10M,02,intron,"NJMerge(SVDquartets,AGID)",30,AGID,SVDquartets,101,98,98,9,9,0.091837
"100tax+75gen",100,75,10M,02,intron,"NJMerge(SVDquartets,log-det)",30,log-det,SVDquartets,101,98,98,15,15,0.153061
"100tax+75gen",100,75,10M,02,intron,"RAxML",NA,NA,RAxML,101,98,98,9,9,0.091837
"100tax+75gen",100,75,10M,02,intron,"NJMerge(RAxML,AGID)",30,AGID,RAxML,101,98,98,7,7,0.071429
"100tax+75gen",100,75,10M,02,intron,"NJMerge(RAxML,log-det)",30,log-det,RAxML,101,98,98,9,9,0.091837
"100tax+75gen",100,75,10M,02,intron,"NJMerge(True,AGID)",30,AGID,True,101,98,98,0,0,0.000000
"100tax+75gen",100,75,10M,02,intron,"NJMerge(True,log-det)",30,log-det,True,101,98,98,3,3,0.030612
"100tax+75gen",100,75,10M,03,exon,"NJ(AGID)",NA,AGID,NJ,101,98,98,6,6,0.061224
"100tax+75gen",100,75,10M,03,exon,"NJ(log-det)",NA,log-det,NJ,101,98,98,9,9,0.091837
"100tax+75gen",100,75,10M,03,exon,"ASTRAL",NA,NA,ASTRAL,101,98,98,6,6,0.061224
"100tax+75gen",100,75,10M,03,exon,"NJMerge(ASTRAL,AGID)",30,AGID,ASTRAL,101,98,98,6,6,0.061224
"100tax+75gen",100,75,10M,03,exon,"NJMerge(ASTRAL,log-det)",30,log-det,ASTRAL,101,98,98,6,6,0.061224
"100tax+75gen",100,75,10M,03,exon,"SVDquartets",NA,NA,SVDquartets,101,98,98,11,11,0.112245
"100tax+75gen",100,75,10M,03,exon,"NJMerge(SVDquartets,AGID)",30,AGID,SVDquartets,101,98,98,11,11,0.112245
"100tax+75gen",100,75,10M,03,exon,"NJMerge(SVDquartets,log-det)",30,log-det,SVDquartets,101,98,98,11,11,0.112245
