mean,median
-0.00044350391783225815,-0.00012221569899999998
-0.0008789241529849462,-0.0008103243470000002
-0.002436355858135484,-0.0024402470479999994
-0.0028883077257978495,-0.001967608636999999
-9.452032487956984e-05,0.0
-0.0009489497296752688,0.0
-0.0005184363608881722,0.0
0.0005756981900236558,1.5040000000618448e-08
-0.0004583845945526877,0.0
0.0005508627275139785,0.00022315853200000004
-1.9771459062365748e-05,0.0
-0.004908829012946237,-0.004693629732999999
-0.001224637974944086,-0.0007221828809999995
-0.0023163641936967743,-0.0011226925979999998
-0.00024863710644731186,0.0
-0.0005523917017612905,-7.116091900000003e-05
-0.000767838574767742,-0.00010976142799999991
0.0003425482427978495,0.0
0.00029285037553763445,0.0
-0.00035543349517419353,0.0
-0.0016306991729225803,0.0
-0.002073384531589247,-0.0005273661569999994
0.00015695837157419357,0.0
0.0003023996023225806,0.0
-0.0011506387734301073,-0.0006764036670000011
-0.00033901196498494624,-0.00017155582800000005
-2.6319345380645087e-05,0.0
-0.00010421960099354845,0.0
-0.0005045371061376344,0.0
3.4395415849461882e-06,0.0
-0.0002319079283978494,0.0
4.606863128172033e-05,0.0
-0.001512531497447312,-0.0009126880930000001
-0.001359695534535484,-0.0009540226999999999
-0.0006438414474623656,-1.5956359000000864e-05
-0.00350277018263871,-0.0013826875809999995
-0.0008396066528559141,-0.0005046879889999999
-0.00016027520809892476,0.0
-0.00032754971152688174,-0.000125591867
-0.0010238157701333334,-0.0005476719329999997
-0.00441240991676344,-0.0037675313499999996
-0.001268113040023656,-0.0005873238100000001
-1.8573911109677413e-05,0.0
-0.0011542121736301076,-0.0006705995259999997
-0.0029335963113720433,-0.0015340950909999984
-0.002747074064393548,-0.0024146242959999994
-0.0009586896357053763,-0.0001071694209999999
-4.482772184301072e-05,0.0
-0.0015051116818666668,-0.0007951973799999994
-0.0011944537932709674,-0.00019914785199999854
-0.0015637965257870967,-0.0012288085780000004
0.0006421447066344087,0.0002948520669999997
-0.0003568708791139785,-0.00011875952100000049
-0.0010482898400623656,-0.0005728915200000002
0.0001333787782709677,0.0
-0.0015808097579225805,-0.0003991584249999989
-0.001740911146948387,-0.0014119956450000005
-0.002327372666249462,-0.001824005983
-0.0008008966872967742,-0.0006526130850000016
-0.0022859771199806454,-0.0013843392760000003
-0.001411810226627957,-0.001244003689
-0.0008468285832236559,-0.000246705074
-0.0018248458091827955,-0.00040388926499999997
0.0008138311958258064,0.000549974035
-0.0006895942008494624,-0.00050026704
-0.0015222808924494624,-0.001116879974
-0.0013731200690666665,-0.001000716906
-0.000923854892696774,0.0
0.0003112021904774195,0.0
-0.00037197797699999995,-0.000500280735
-0.0007303469240731181,-0.000870585135
-0.0019983505104279567,-0.0010625139479999999
-0.001997858620301075,-0.0016144918729999996
-0.00333975482775699,-0.0006747177150000006
-0.001968942208967742,-0.0014243673899999995
