filename,RF-distance
uce-1005,0.02076070173050891
uce-1021,0.027717808355424485
uce-1026,0.057710295983534485
uce-1036,0.014714141651181506
uce-1047,0.018264476700814505
uce-1085,0.0233512011432307
uce-1093,0.015574649861150322
uce-1098,0.02586827143169766
uce-1100,0.023495054468538078
uce-1102,0.0034766407407967772
uce-1107,0.023899618146435073
uce-1120,0.03688107762694219
uce-1128,0.01415658827238647
uce-1136,0.022167581854415034
uce-114,0.004748972610969589
uce-1169,0.027805382828601927
uce-1191,0.01589241238240788
uce-1203,0.004848459584433625
uce-1209,0.015634115479746632
uce-1210,0.021012891716359536
uce-1216,0.023286502511495936
uce-1217,0.02674224614362695
uce-1230,0.008142643089157778
uce-1232,0.007731493317847158
uce-1239,0.030063097082570274
uce-1242,0.013775451925464421
uce-1245,0.00493707154436717
uce-1255,0.016695137293652497
uce-1257,0.014119698719355
uce-1260,0.01019928428532059
uce-1263,0.01923819677113972
uce-127,0.0147220572470022
uce-1271,0.048676412908397304
uce-1278,0.02386257855393215
uce-128,0.03675932201813554
uce-1285,0.025296478603186505
uce-1304,0.012767853832000737
uce-1305,0.013499321943080057
uce-1311,0.0151648767876015
uce-1313,0.018625222039318316
uce-1314,0.05584634990216631
uce-1319,0.02425433855670429
uce-1346,0.00939660134716812
uce-1359,0.016736155142974368
uce-1366,0.03814680702893191
uce-1381,0.028563145114227386
uce-1405,0.018613253298730672
uce-1420,0.007714873288285558
uce-1430,0.032173430029432994
uce-1446,0.026440402844365055
uce-1458,0.021957511293209345
uce-146,0.02718409695905297
uce-1463,0.037297994336107754
uce-1480,0.013910388061695693
uce-1485,0.005580997312050327
uce-1492,0.01145440317406225
uce-1514,0.021127389390567124
uce-1520,0.03949979114967826
uce-1533,0.0408202156392201
uce-1538,0.02628843004872193
uce-1544,0.024245778163529096
uce-1550,0.016239091501553202
uce-1556,0.021131986096084243
uce-1560,0.013285530009744313
uce-1564,0.019789033371606726
uce-1572,0.024767679270016333
uce-1582,0.01572569292119977
uce-1591,0.01611124989183692
uce-16,0.019424098932424066
uce-1600,0.015219223196745006
uce-1616,0.018515040813147525
uce-1622,0.028835261574426924
uce-1630,0.023465025977837478
uce-1639,0.03459706314257719
uce-1644,0.017461555466367667
uce-1650,0.024997316538895645
uce-1662,0.02597763408436549
uce-1677,0.018724465018222943
uce-1693,0.01717270208006889
uce-1695,0.042611109116237965
uce-172,0.025135326025144497
uce-1736,0.04203837299529265
uce-1741,0.01466466668885371
uce-1752,0.0350354321629935
uce-1754,0.030404556240125
uce-1768,0.001823689946235836
uce-1787,0.028629351557152724
uce-1794,0.006363346794806118
uce-18,0.019423802760539115
uce-1800,0.01801742220317081
uce-1808,0.011522263517791361
uce-1809,0.011368274477150995
