0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
uce-7495,0.0,-0.002504736665,-0.008650659211999999,-0.0016553377380000003,-0.002620764363,-0.003174959204,-0.009362521209999999,0.0006481916449999998,-0.00478036105,-0.006323061803,-0.011175027657999999,-0.010743443682999999,-0.005604573361999999,-0.008058148635,-0.005602508145999999,-0.006314705949,-0.0018844129670000011,-0.006832247398,-0.007550467719,-0.00631852552,-0.001389328653,-0.0050968924459999995,-0.00014565623100000046,-0.003479553701,-0.002275935259,-0.007550467719,-0.005854765383,-0.007843257600999999,-0.006325010783000001,-0.006826206436
uce-7503,0.0,0.001107693934,-0.00039908123700000027,-0.003116518024,-0.0033133685200000002,-0.001714836727,-0.0027286581610000003,-0.002691237747,-0.0009016647520000004,0.0001036923359999998,0.00039531936299999973,0.0016059806729999998,0.0013148702909999998,-0.009566110537,-0.0019111940460000004,-0.00034664767,-0.0006353464360000002,-0.004322897814,-0.004012378954,-0.00424459054,-0.0004036336950000003,-0.003621068098,-0.003621068098,-0.004324675526,-0.0017067634599999995,-0.00245673872,-0.0020861610849999997,-0.0006013206229999999,-0.0032216721989999997,0.001817249222
uce-7505,0.0,0.003316331887000001,-0.015602120134000003,-0.015071997101999999,-0.006713794333000001,-0.005959032044000001,-0.016765261602000002,-0.0018732922579999985,-0.020550129958999998,-0.013220835756,-0.009476631903,-0.015648329846,-0.026737980664999998,-0.021686004178000002,-0.026189909215999996,-0.026083902395999996,-0.025004374916,-0.019419817804,-0.020231374798,-0.019577270491,-0.014895779586999999,-0.024117705795,-0.015590930495999997,-0.020059381568000002,-0.010895162000000003,-0.014900446035000004,-0.020162915509,-0.023042893662000002,-0.022954334267999997,-0.024206615336999998
uce-7515,0.0,0.004881818601,-0.003207508611,0.0017216821439999998,-0.002307366783,-0.005549545302,-0.0046721318320000005,-0.0034482962979999997,-0.006616072884999999,-0.004666072205,-0.003853844619,-0.004919355346999999,-0.006131910579,-0.002153929156,-0.005135557374,-0.0064429219460000004,-0.005674835270000001,-0.0036830783369999993,-0.004662287927999999,-0.004662287927999999,0.0012546681210000004,-0.007715610692,-0.0007689512239999995,-0.0036830783369999993,-0.0029230580469999995,-0.001987957948,-0.006409493086,-0.00572061532,-0.0066538028060000014,-0.006692195457
uce-7518,0.0,-0.003013864297,-0.0013589012569999994,0.002797743986,0.0017941823219999996,0.009864962099,-0.0031310810350000003,0.005173299243999999,-0.00022424340799999994,-0.004203238391,-0.009257984681,-0.0017078228830000003,-0.004203238391,-0.005524189318,-0.004203238391,-0.0036049145620000002,-0.004040576545000001,-0.004203238391,-0.005524189318,-0.004203238391,-0.0001510008849999996,-0.008442510910000001,-0.00022204049499999993,-0.00020794663199999973,0.0019444195380000006,0.0035421677489999998,-0.005524189318,-0.005210710825,-0.004203238391,-0.007740533533
uce-7520,0.0,0.0003215017499999999,-0.001867475082,-0.006924199166000001,-0.0007227991549999995,0.0015002778090000002,-0.0013186846479999997,0.0012283347209999995,-0.0012043640119999998,-0.0042064492290000005,-0.004519274282,-0.007549379265,-0.002654666903,-0.00502407603,-0.00502407603,-0.005475767145,-0.004329205752,-0.0037011066639999995,-0.006032534405,-0.004899494088,-0.002692448925,-0.004015012195,-0.0028791033110000005,-0.004517360259,-0.002112087534,-0.004517360259,-0.005526935376,-0.004709565039,-0.0026920428289999997,-0.0026920428289999997
uce-754,0.0,0.0,4.48328080000001e-05,-0.002732490879,-0.003006363179,-0.00044337283199999975,-0.00037914124600000026,-0.0019511063050000003,-0.004514096652,-0.000457741922,-0.006551372664999999,-0.009562576444,-0.009562576444,-0.009562576444,-0.00044337283199999975,-0.003006363179,-0.003006363179,-0.003006363179,-0.003508747491,-0.003508747491,-0.005017514858,-0.006024952732,-0.0022297164480000005,-0.003508747491,-0.003508747491,-0.003508747491,-0.003508747491,-0.003508747491,-0.002228078431,-0.003508747491
uce-7540,0.0,0.001186387362,-0.023036669989999998,-0.01648855655,-0.021312135232000005,-0.011087972810999998,-0.024662911487000002,-0.005978740853,-0.031779160154,-0.018605744335,-0.025972659701000003,-0.030901165978,-0.035577973505,-0.032666573359,-0.029628057165,-0.032270496637,-0.027521546306,-0.025490060693000003,-0.019458221991000002,-0.025880066981000004,-0.02051837034,-0.033700886076999996,-0.020315080256999997,-0.021684763360000005,-0.027858384841000002,-0.032037651842999997,-0.020334059874999998,-0.025120067687999997,-0.029001642419,-0.023037600832
uce-7552,0.0,0.004306323525,-0.0011470262359999997,0.0003005372370000004,-0.002236970506,-0.0021308934189999997,-0.003474568953,-0.005238391563,-0.010193047385,-0.010909696758,-0.007978986157,-0.00444540613,-0.0062067693519999995,-0.008720857167,-0.008656704838,-0.005705754483,-0.0051485804109999995,-0.006205847818,-0.003493558761,-0.0042667945340000004,-0.005280650674,-0.006715843475,-0.001603255126,0.0001538431220000011,-0.00375506291,-0.001460119805,-0.002736187645,-0.0031660603520000004,-0.011217235814,-0.0042667945340000004
uce-7553,0.0,0.0005059677699999999,-0.017256459362,-0.005753843345000001,-0.008562768232000001,-0.004164866744999999,-0.020910865153,-0.008828097209,-0.020410334876,-0.013613652783999999,-0.013759596520999999,-0.019368796304,-0.013634529994,-0.013132877373999999,-0.016314189877,-0.012416499019,-0.017711510213,-0.02216960517,-0.027709341925,-0.020246775361,-0.010021286705,-0.020708649588,-0.014606118276999999,-0.018776511122,-0.013976126834000001,-0.018164985778999998,-0.017872594893,-0.015391675936,-0.015282445845000001,-0.014347679946000001
